id,reference,,output text,,"Similar meaning (0=no, 1=yes)","Well-formedness (by email standards) (0=badly-formed, 1=well-formed)","Formality (0=informal, 1=formal)"
97,"Grace, you should be a mid-marketer - you've got that supply and demand thing DOWN, girl! GRACE RODRIGUEZ 01/25/2001 08:17 AM",,"Grace, I have that supply and demand thing down. You do not need to be a mid-marketer. Mike",,0,1,1
103,"Meeting with Cindy Olson, et al to prepare for 1:30 all-HR meeting",,.. The meeting will be for 1:30 all-HR meeting. The meeting will be for 1:30 all-HR meeting......-HR meeting. will be for 1:30 all-HR meeting.-HR,,1,0,0
109,We have received the executed EEI Master Power Purchase and Sale Agreement dated 2/1/2001 from the referenced CP. Copies will be distributed to Legal and Credit.,,CP..CP.. EEI Master Power Purchase Sale Agreement.CP.CP.CP.CP. EEI Master Power Purchase Sale Agreement from the referencedCP. referencedCP. referencedCP. reference,,0,0,0
115,FYI,,That's correct. That's correct. That's correct. That's correct. That's correct. That's correct. That's correct.,,0,0,0
121,"No problem, Lindy did all the hard work!",,"s I did the rest. a problem, Lindy did it. I was just happy to have the time to play. I'm so glad I did it. I love it. I love it. I love it. I love it. I love it.",,0,0,0
127,"Hi Bob, I believe I gave on October 24, so I'll go again around Christmas. I'm glad that you've gotten some good news, and here's hoping for a much better 2001! Kay",,Gladlad you've got some good news - here's hoping for a better 2001!,,1,0,1
133,"Thanks Casey, sorry to annoy Billy! Lisa",,"I'm sorry Billy. I'll try to get him to stop.. I'll try to get Billy to stop. Thanks Lisa, I'm sorry Billy. Thanks Billy. Thanks Lisa. Thanks Lisa. Thanks Billy. Thanks Lisa. Thanks Lisa. Thanks",,0,0,0
139,"Thanks! My friend Donna called me yesterday and we were just talking about Carson. On a slightly different note, can I take you up on your offer to call Ofelia about not showing up on Thanksgiving Day? Sara",,i got a call from Donna yesterday - she's been talking over Carson but she said I would call Ofelia if i am out for Thanksgiving Day... thanks,,1,1,1
145,Marcie Youngerman just called with a request for a sample ISDA. No CP name. Exclusions included. Today. Thanks. Sara,,Youngerman just called with a request for a sample ISDA. No CP name. Exclusions included. Today. Thanks.,,1,1,1
151,Attached is a new credit worksheet for Capex. SS,,.. Please check it out.. Please check it out. There is a new credit spreadsheet for Capex....... has a new credit spreadsheet for Capex. has a new credit spreadsheet for,,1,0,0
157,"Gentlemen, This is now back to being the CA Development I and II deal. Please change the name. Please send it to me and Lee Johnson tomorrow, if possible. Kay",,. Thank you. Thank you. I would like to communicate it to Lee Johnson tomorrow... CA Development I and II... Please change it back to CA Development I and II. and II....,,1,0,0
163,ugh,,gh,,0,0,0
169,Shouldn't someone contact Amoco? I mentioned this to Carol St. Clair last week but I don't know if anyone thought further about it. Sara Enron North America Corp.,,. I don't know if anyone thought about this.. I asked Carol last week and she said she thought about it. I asked Carol last week but I don't know if anyone thought about this. I asked Carol last week. or if,,1,0,0
175,I need the city's bond counsel (outside counsel).,,need the city's back... (now,,0,0,0
181,Please disregard my first note. Chris Foster will call tonight and tell you what to do with ARCO's schedule.,,.. I'll be calling you tonight.. I'm going to call you tonight to tell you what to do with ARCO's schedule. note. second note.........,,1,0,0
187,I don't know anything about this! MC Richard B Sanders 06/08/2000 05:34 PM,,don't know anything about Australia. MC Richard B Sanders 06/08/2000 05:34,,0,0,0
193,Sure - give me a call on Friday. Sara,,give me a call on friday,,1,1,0
199,Not sure if you need this one but forwarding just in case.,,Not sure whether you need this one just in case.,,1,1,0
205,"I have a conference call that starts around 1030 and is scheduled to go to 1230. Otherwise, no lunch plans. Kay",,,,0,0,0
211,Of course. Just let me know what deadline you would like. SS Julian Poole@ENRON_DEVELOPMENT 01/28/2000 07:27 AM,,. I'll get you a quote. I'll get you a quote. I'll get you a quote. Let me know what deadline you're after. Let me know. Let me know. Let me know. Let me know. Let,,0,0,0
217,"Rebecca, My mail stop is EB 3125A. I e-mailed you that info. on Oct.30 and left you a voice mail message. CD",,i left you a voice mail emailing the address i used for your mail stop,,1,1,0
223,Lavo is going to bring it in for me. I bought QQQ today at 93. Traded 102 in afterhours trading on the island. Enron is free. Chris,,. I bought it today and it is going to be brought in by Lavo.. I bought it today and it is going to be brought in by Lavo.,,0,0,0
229,I was just yanking your chain. Deep breaths. Go ahead and make whatever adjustments. Chris,,"i was just yanking your chain, go ahead and make any adjustments you need, Chris",,1,1,1
235,fyi. I haven't checked yet.,,I haven't checked,,1,1,0
241,I get possesion Sept.20,,loved,,0,0,0
247,"Hi Dale, Just got your email re assignment out of TurboPark. Here are the draft documents being reviewed by the lender for the movement of equipment out of TurboPark. Kay",,". Hi Dale, here are the. Hi. Thanks for the quick response. Dale, thanks for the quick response. Dale, just got your email re assignment out of TurboPark. Thanks for the email. Dale, thanks for the quick response.",,1,0,0
253,FYI re: offer revocation. Michelle,,of. Re: offer revocation. Re: offer revocation. Re: offer revocation. Re: offer revocation.,,0,0,0
259,Shall we buy this? Sue Mara Enron Corp. Tel: (415) 782-7802 Fax:(415) 782-7854,,Can we buy this?? Sue Mara,,1,1,0
265,"Gracie, Can I still cancel the class. I am sorry but I can't make it. thanks, MOnika Causholli",,sorry but i cannot make the class,,1,1,0
271,"I can't believe you're leaving! I hope wherever you go next brings you joy and fulfillment, but you'll definitely be missed here. Thanks for all your help. Good luck! Kate",,"can't believe you're leaving! I hope wherever you go next brings you joy and fulfillment, but you'll definitely be missed here. Thanks for all your help. Good luck!",,1,1,1
277,"I can't believe you're leaving! I hope wherever you go next brings you joy and fulfillment, but you'll definitely be missed here. Thanks for all your help. Good luck! Kate",,i will definitely miss you here... i just hope you'll find and joyness and fulfillment next time,,1,1,1
283,"Thanks for the email. If Rock of Ages #7 is available, we would like to put a reserve on it. Can you send me more info on the artist? Regards, Jeff",,can you send the latest artist? i would love reserve Rock of Ages #7. thanks,,1,1,1
289,fyi,,,,0,0,0
295,No. Sounds right. -------------------------- Sent from my BlackBerry Wireless Handheld (www.BlackBerry.net),,Sounds right to me ------------------------ Sent from my BlackBerry Handheld (www.BlackBerry.net),,1,1,1
301,"Marie, I note this was unassigned, I guess Carol was trying to cover this. Please see if Barbara has time to handle this one since it is of high importance.",,has Barbara had time to deal on this one (since it is of high importance) Mark,,1,1,0
307,"Hello, I can't imagine how dark you guys are. Hope you are soaking up your last couple of days. Have a cubra libra for me! Love Chris",,i hope you get some much sleep over the last 2 days... can't imagine how dark you are,,0,1,0
313,Please send the form consulting agreement to Randy. Thanks. MHC,,send the form consulting above to D.P.,,0,1,0
319,It looks like Enron Japan was kept in the loop. Let's keep it up. Good luck,,it looks like they kept the Japanese people in.,,0,1,0
325,fyi (I've asked Sheila to add your name to the list). Sara,,(I've asked Sheila to add your name to the list).,,1,1,0
331,(per Tim Brown 202-789-7200),,Tim Brown report 202-789-7200,,0,1,0
337,BEFORE I send the last piece in -- here is the whole thing -- PLEASE look at Sheet 3 -- RCR stuff -- there is nothing for EBS -- check out the other stuff too,,"and the other stuff. I will send it out. I have a lot of stuff left, so make sure you look at it. I will send it out. I hope you like it. Thanks for looking. I have sent it. Thanks for looking. I hope",,0,0,0
343,"No, I'm actually pretty happy about the deal. Not as happy as I would be if I were working for you.",,I'm actually pretty happy about the deal. Not as happy as I would be if I were working for,,1,1,0
349,"Thanks for the email. If Rock of Ages #7 is available, we would like to put a reserve on it. Can you send me more info on the artist? Regards, Jeff",,. I would like to reserve Rock of Ages #7 if it's available.?? Can you tell me more about the artist?? Can you tell me more about the artist?? Hi!. #7. Can you tell me more,,1,0,0
355,I wish...that would be my dream job!,,"wish ""that would be my dream",,1,0,0
361,- cj_4903.jpg,,,,0,0,0
367,fyi,,FX,,0,0,0
373,"To:WILLIAMS, WILLIAM Email:bwillia5@enron.com - 503-464-3730 Enron Wholesale Services - Office of the Chairman",,"WILLIAMS, WILLIAM Email: wwillia5@enron.com - 201-464-3730 Enron Wholesale Services - Office of the",,1,0,0
379,"Rebecca, My mail stop is EB 3125A. I e-mailed you that info. on Oct.30 and left you a voice mail message. CD",,. I am sorry for the delay.. I left you a voice mail message after I e-mailed you my mail stop address. I left you a voice mail message after I e-mailed you. I...,,1,0,0
385,BYOBroadcast <info@byobroadcast.00b.net> on 04/09/2001 03:43:16 PM,,<info@byobroadcast.00b.net> on 04/09/2001 03:43:16,,1,0,0
391,"Is the October 13, rev 3 the final version? Kay Rusty Stevens 11/01/2000 12:26 PM",,"the BOOK 13, BOOK 3 the final word? - Rusty | 11/01/2000 12:26",,0,0,0
397,lists@nbr.org on 03/21/2001 04:02:46 PM,,on 03/21/2001 04:02:46,,0,0,0
403,User ID: enrondlr PW: bnaweb22,,ID: enrondlr Password:,,0,0,0
409,hope everyone is okay with this -- i talked to the people that were here and we all agreed.,,talked to some of the people that were here and we all agreed.. I was here for a reason. was right.. I was here for a reason. I was here for a reason. I was here for a reason. I said,,1,0,0
415,"Ben Bedell, the lawyer for BT, has called to about the calculations I forwarded to you on Wednesday. Are we agreed? Please let me know asap. I know that the parties wanted to close today. Sara",,hey i know the parties wanted to close the calculations i forwarded you on wed. are there agreement?,,1,0,0
421,"Thanks! My friend Donna called me yesterday and we were just talking about Carson. On a slightly different note, can I take you up on your offer to call Ofelia about not showing up on Thanksgiving Day? Sara",,Ellie My friend Donna called me yesterday and we were just talking about Carson... On a totally different note... can I take you up on your offer to call Ofelia about not showing up on Thanksgiving Day?,,1,1,1
427,Done. K Lester Rawson 03/13/2001 12:14 PM,,Completed Task Priority: Task: K Lester Rawson 03/13/2001 12:14 PM,,1,0,1
433,would you please handle? Thanks. Michelle,,you please handle? Thanks.,,1,0,0
439,Done. K Lester Rawson 03/13/2001 12:14 PM,,By Lester Rawson 03/13/2001 12:14,,0,0,0
445,meeting folder,,Those are in the meeting folder for the meeting.,,1,0,0
451,here's the right email address. talk to you soon.,,the right email address. talk to you,,0,0,0
457,I was just yanking your chain. Deep breaths. Go ahead and make whatever adjustments. Chris,,was just yanking your chain. Deep breaths. Go ahead and make whatever adjustments.,,1,1,0
463,the 14th is much better for me as we already have plans on the 7th,,"Much better, I can take the 14th, on the 7th we have plans.",,1,1,0
469,Marcie Youngerman just called with a request for a sample ISDA. No CP name. Exclusions included. Today. Thanks. Sara,,"I will send you a sample. Thank you, Sara. Thank you, Sara. Thank you, Sara. Thank you, Sara. Thank you, Sara. Thank you, Sara. Thank you, Sara. Thank you. Thank you, Sara. Thank you. Thank you. Thank",,0,0,0
475,Shall we buy this? Sue Mara Enron Corp. Tel: (415) 782-7802 Fax:(415) 782-7854,,".., says yes.., says yes., said yes. Can we buy this? Can we buy this? Can we buy this?, is the executive vice president and chief financial officer of Enron Corp. Can we buy",,0,0,0
481,You are most welcome. Hope the food is as good as the OTHER get together. SS Suzanne Adams 06/26/2000 03:43 PM,,are both welcome we hope the food is as good as the OTHER get togethers :) Suzanne Adams 06/26/2000 03:43,,1,1,0
487,6:15 p.m. to 8:30 p.m. Contact is Alva Hines 202-624-5325 - not going unless going to be in DC already,,I am in the office from 6:30p.m. to 8:30 p.m. to 9:30 p.m.,,0,0,0
493,"No, I'm actually pretty happy about the deal. Not as happy as I would be if I were working for you.",,"I'm pretty happy with the deal. I'm pretty happy with the deal.. but not as happy as I would be if I worked for you. I'm pretty happy with the deal, but not as happy as you. I'm pretty happy",,1,0,0
499,"David: Attached is the Gas Master we discussed. As you can see, Exhibit C has been removed. Jeff",,Exhibit C. Exhibit C has been removed from the Gas Master. Exhibit Chibit C. Exhibit C has been removed from the Gas Master. Exhibit C has been removed from the Gas Master. Exhibit C.,,1,0,0
505,at your convenience. I understand entirely. SS,,ok me at convenience,,0,0,0
511,calendar,,,,0,0,0
517,must be for real,,be,,0,0,0
523,fyi,,Rick,,0,0,0
529,G. The weekend looks good. I have to do a little homework. Other than that I am ready to go. Houston just may kick our ass. Your room is available either night. GT >,,the weekend looks good!!!! i am ready for go (just a little homework. houston may kick our asses).,,1,1,0
535,Attached is a new credit worksheet for Capex. SS,,is a new credit who paid for premium / gold,,0,0,0
541,"In case I forget to mention it, when the next round of Panda docs are ready, you might want to send them to Herman and Matt. Thanks, Kay",,. Thanks for the feedback. Thanks for the feedback. Thanks for the feedback. I’ll be back. Thanks for the feedback. Thanks for the feedback. Thanks for the feedback. Thanks for the feedback. Thanks for the feedback. Thanks for the feedback. Thanks for the,,0,0,0
547,Per my voice mail,,dopamine,,0,0,0
553,User iD: enronccw PW: bnaweb22,,.. The user iD is enronccw. The user iD is enronccw........ The user iD is enronc,,0,0,0
559,FYI,,,,0,0,0
565,The deals were entered yesterday - 461029 Williams 461030 EES Thanks Kerri Thompson@ENRON 11/17/2000 07:04 AM,,These deals entered yesterday: thanks for Kerri Thompson: 7-464-5077,,0,0,0
571,"Grace, you should be a mid-marketer - you've got that supply and demand thing DOWN, girl! GRACE RODRIGUEZ 01/25/2001 08:17 AM",,"you should be a mid-marketer; you've got that supply and demand thing down, honey! GRACE RODRIGUEZ 01/25/2001 08:17",,1,1,0
577,"Just a reminder to send me a currency report. Thanx, Chris",,just a reminder.... send me a currency report,,1,1,0
583,Shouldn't someone contact Amoco? I mentioned this to Carol St. Clair last week but I don't know if anyone thought further about it. Sara Enron North America Corp.,,I asked Carol if anyone thought about this last week and she hasn't me anymore?????,,0,0,0
589,At 4.28 we need some humor!,,Dill you provide some enjoyment at 4.28,,0,0,0
595,Thanks. I'll do an assignment letter formalizing the relationship. Michelle,,I'll do an assignment letter formalizing the relationship.,,1,1,1
601,"Hi Dale, Just got your email re assignment out of TurboPark. Here are the draft documents being reviewed by the lender for the movement of equipment out of TurboPark. Kay",,"All, Just got your email re Moving out of TurboPark. Here are the draft documents being reviewed by the lender for the movement of equipment out of TurboPark.",,1,1,1
607,call me on my cell 713 304 8716,,. My cell number is 713 304 8716.. My cell number is 713 304 8716. I am a single mom of two. I am a single mom of two. I am single. I am single. I am single.,,0,0,0
613,fyi,,. I don't know what to make of it... I don't know what to make of it.. I don't know what to make of it........ what to do.,,0,0,0
619,"FYI, if you didn't get this already. Michelle",,"you have not already... If you did not get this already, it is important. If you did not get this already, it is important. If you did not get this already. If you do not get this already. If you do not get this already.",,0,0,0
625,How did the pattened move work? cd,,How did move pattened?,,1,0,0
631,at your convenience. I understand entirely. SS,,m doing at your convenience.. I'm completely aware of what you're doing at your convenience.. And you're doing at your convenience. I'm completely aware of what you're doing at your convenience...,,0,0,0
637,print,,,,0,0,0
643,do we need bus cards,,I need,,0,0,0
649,That will help. Ben F Jacoby@ECT 03/23/2001 12:21 PM Sent by: Ben Jacoby@ECT,,that will help... Ben F Jacoby@ECT 03/04/2001 08:06 AM,,1,1,0
655,"can i write you a check for this? and, by the way, have people been paying you, because alot of people dont read their email",,Can I send out a check for this? Have people been paying to you because a lot of people don't read email?,,1,1,0
661,The deed is done. Chris,,good Chris has done it,,0,0,0
667,The deed is done. Chris,,work is done ~,,1,1,0
673,Thanks. I appreiciate it.,,a lot. a lot. Thanks a lot. I am appreciiciate it.. I am appreciiciate it.a lot. a lot....reciating it.reciating it.,,0,0,0
679,FYI,,DA,,0,0,0
685,REMINDER - INFO SESSION TODAY AT 11:30 AM in MT HOOD.,,There is an informational session at 11:00 AM in Mt Hood today.,,0,1,1
691,HEY GUYS. IS THIS STUFF BS OR WHAT? LET ME KNOW YOUR OPINION SO I DON'T MAKE AN ASS OUT OF MYSELF AND FORWARD THIS TO ANYONE ELSE. GT >,,"Charlie, let me know whether this is true or not so I will not need to report to anyone else.",,1,1,1
697,Lavo is going to bring it in for me. I bought QQQ today at 93. Traded 102 in afterhours trading on the island. Enron is free. Chris,,i bought it today and parvo will bring it in for me,,0,1,0
703,fyi Marg,,,,0,0,0
709,Just so you know what's going on in the IT world.....,,So you know IT stuff.,,1,1,0
715,You said everyone was up to speed on this....?,,You sounded like everyone was aware of this.,,1,1,1
721,Ellen: Per our discussion. Jeff,,of our discussion. of our discussion. of our discussion.: As a result of our discussion. Ellen: As a result of our discussion. Ellen: As a result of our discussion. Ellen: result of our discussion. of our discussion,,0,0,0
727,"David: Attached is the Gas Master we discussed. As you can see, Exhibit C has been removed. Jeff",,Check out Exhibit C from Gas Master....,,1,1,1
733,"John, Would you confirm (via a new email that I can print for my files) you have had the conversations with Dan Bruce, etc. about Entelligence that I scripted for you in a prior email? Thanks a lot. Michelle",,"Would you confirm (via a new email that I can print for my files) you have had the conversations with Dan Bruce, etc. about Entelligence that I scripted for you in a prior email? Thanks a lot.",,1,1,1
739,Please disregard the previous email. Have a great day!! Zakiyyah xt 58146,,received the apology email.Have a great day!!baliyyah !!!,,0,0,0
745,I'm free after 11 am - Sara,,.. Sara is free after 11 am. Sara is free after 11 am.,,1,0,0
751,"Susan: Based on Tanya's message, we should pursue the Morgan Cap Services agreement. Let's talk when you have a chance. I've put this on our legal.credit list. SS",,We should pursue the Morgan Cap Services agreement. Thanks. Thanks. We should pursue the Morgan Cap Services agreement. We should pursue the Morgan Cap Services agreement. Morgan Cap Services agreement. Morgan Cap Services. Morgan Cap Services....,,1,0,0
757,fyi Kay,,I think of Kay. I think of Kay. I think of Kay. I think of Kay. I think of Kay. I think of Kay.,,0,0,0
763,fyi No action required.,,No action required,,1,1,1
769,"Hey, they are making me crazy and I'm just reading your emails. Kay Alan Larsen@ECT 12/19/2000 10:59 AM",,they're making me crazy and I'm just reading your blog :D Alan Larsen@ECT 12/19/2000 10:59,,1,0,0
775,what's happening? I am bored.,,i'm bored,,1,1,0
781,Correction: This length is for Monday only. JMF,,- This length is for phones only -,,0,0,0
787,I have received the correct version of Jeff's contract. See me when you have a minute so that I can swap out pages. Thanks! Amy,,have received the correct version of Jeff's contract. See me when you have a minute so that I can swap out pages. Thanks!,,1,1,1
793,513386 has been changed. 514418 - no such deal. Kerri Thompson@ENRON 02/05/2001 02:30 PM,,"just changed to 512386, no such deal",,0,1,0
799,User ID: enrondlr PW: bnaweb22,,ID: enrondlr Password:,,0,0,0
805,no,,No,,1,1,0
811,"The Friday September 1, 2000 ENA Management Committee Meeting has been cancelled. Rob Milnthorp 08/15/2000 04:03 PM",,"the September 1, 2000 ENA Management Committee Meeting has been cancelled — Rob Milnthorp 08/15/2000 04:03",,1,1,0
817,must be for real,,it must be real. It must be real. It must be real. It must be real. It must be real. It must be real.,,1,0,0
823,dryan1@houston.rr.com,,.. The person is called dryan1 at Houston.rr.com.. The person called dryan1 at Houston.rr.com..com.....com..com...,,0,0,0
829,I'm going!,,m going! I'm going! I'm going! I'm going! I'm going! I'm going!,,0,0,0
835,"FYI. Most recent versions. Matt, sorry I missed you call. Roger, does signing the letter agreement cause any balance sheet problems? We anticipate closing a few days later. Kay",,oh sorry I missed you call...........we anticipate closing a few days later,,0,1,0
841,- cj_4903.jpg,,cj_4903,,0,0,0
847,Sue Mara Enron Corp. Tel: (415) 782-7802 Fax:(415) 782-7854,,Sue Mara Services Enron Corp. 713/853-7821,,0,0,0
853,Diane Russell Saunders (Polaroid) RFP for fuel oil and no.6 (617) 386-7301,,No.6 by Diane Russell. There was a request for fuel oil and no.6 by Diane Russell. There was a request for fuel oil and no.6 by Diane Russell. There was a request for fuel oil and no.6 by Diane Russell.,,1,0,0
859,Sue Mara Enron Corp. Tel: (415) 782-7802 Fax:(415) 782-7854,,Sue Mara Enron Corp: Tel: (415) 882-7802 Fax:415 are 646 7874,,0,0,0
865,Lets at least get the Florida ones done. Any idea why she didn't go?,,At least get the Florida ones in! Any idea why she didn't go,,1,1,0
871,6:15 p.m. to 8:30 p.m. Contact is Alva Hines 202-624-5325 - not going unless going to be in DC already,,on Sundays. on Mondays. on Tuesdays. on Wednesdays. The office is open from 6:30p.m. to 9:30p.m. on Fridays. The office is open from 6:30p.m. to 8p.m. on Saturday,,0,0,0
877,what's happening? I am bored.,,happening and i got,,0,0,0
883,These are done. Have a good weekend! Kate Lester Rawson 04/13/2001 02:57 PM,,Kate : Have an ok weekend!! Kate Lester Rawson 10/25/2000 05:39 PM,,0,1,0
889,"Here are the approvals for 11/01/00 Regards, bd",,11/01/00,,0,0,0
895,--------- Inline attachment follows ---------,,... The Inline attachment is followed by the line attachment........ The Inline attachment is followed by the line attachment. The Inline attachment is followed by the line attachment. the line attachment,,1,0,0
901,"No problem, Lindy did all the hard work!",,No problem. Lindy did all the hard.,,1,0,0
907,calendar,,a calendar. There is a calendar. There is a calendar. There is a calendar. There is a calendar. There is a calendar. There is a calendar. There is a calendar. There is a calendar..,,1,0,0
913,Joanne: I'll hand you the revision to the template below (ignore the second attachment). Sara,,give me the revision below if dont mind the second attachment....,,0,0,0
919,"More org stuff. Randy must now be with EWS Legal, since I see he is in an office on 38. Kay",,at 38. I think he is with EWS Legal. Randy is in office at 38. I think Randy is with EWS Legal. Randy is in office at 38. I think Randy is with EWS Legal. Randy is in office at 38. I think Randy is with E,,0,0,0
925,my awesome company,,Thanks. My little company is awesome.,,0,1,1
931,Of course. Just let me know what deadline you would like. SS Julian Poole@ENRON_DEVELOPMENT 01/28/2000 07:27 AM,,course. Just let me know what deadline you'd like!KSSarah Poole@ENRON_DEVELOPMENT 01/28/2000 07:27,,0,0,0
937,my awesome company,,awesome. My company is awesome. My company is awesome. My company is awesome.,,1,0,0
943,For the next step...,,the next step. For the next step. For the next step. For the next step. For the next step. For the next step.,,1,0,0
949,"Here are the approvals for 11/01/00 Regards, bd",,are the approvals for 11/01/00 Regards & b,,1,0,0
955,at your convenience. I understand entirely. SS,,your level and I buy,,0,0,0
961,Ellen: Per our discussion. Jeff,,>> Watch our discussion with,,0,0,0
967,i will be attending,,will be,,0,0,0
973,Michelle Cash Assistant General Counsel Enron Wholesale Services Legal Department 713-853-6401 Ass't: Twanda Sweet -- 713-853-9402,,Williams Assistant General Counsel Enron Wholesale Services Legal Department 713-853-6401 Media contact: Twanda Sweetgin,,0,0,0
979,"FYI, if you didn't get this already. Michelle",,if you didn't get this already,,1,1,0
985,ugh,,I'm so sorry.,,0,0,0
991,513386 has been changed. 514418 - no such deal. Kerri Thompson@ENRON 02/05/2001 02:30 PM,,512386. There is a change to 512386. There is a change to 512386... There is a change to 512386. There is a change to 512386.....,,0,0,0
997,FYI Jeff Donohue is OK with the ABB exclusivity agreement I was serious about Parquet and Mcdonald Chris Calger 503-464-3735,,and Mcdonald's.. I was serious about Parquet and Mcdonald's because. I was serious about Parquet and Mcdonald's because Jeff Donohue is OK with theABB exclusivity agreement,,0,0,0
1003,my awesome company,,artistic,,0,0,0
1009,Please see below and let me know your thoughts on the GTC/confirmation question? Thanks Carlos,,See see Below on GTC/confirmation... Thanks Carlos,,1,0,0
1015,I'm thinking we are short lawyers. Hope that means good things for the survivors!,,i think we are really short lawyers... hope it means good things for the survivors,,1,1,0
1021,"Meeting with Cindy Olson, et al to prepare for 1:30 all-HR meeting",,This is for our 1:30 all-HR meeting,,1,1,0
1027,tomorrow is probably better than Wednesday,,Tomorrow or any other would be better than Wednesday.,,1,1,1
1033,Shouldn't someone contact Amoco? I mentioned this to Carol St. Clair last week but I don't know if anyone thought further about it. Sara Enron North America Corp.,,someone contact Amoco?I mentioned this to Carol St. Clair last week but I don't know if anyone thought further about it. Sara Enron North America,,1,1,0
1039,--------- Inline attachment follows ---------,,... The attachment follows the inline attachment. The attachment follows the inline attachment.,,1,0,0
1045,20,,,,0,0,0
1051,HEY GUYS. IS THIS STUFF BS OR WHAT? LET ME KNOW YOUR OPINION SO I DON'T MAKE AN ASS OUT OF MYSELF AND FORWARD THIS TO ANYONE ELSE. GT >,,. Thanks! I'm not sure if this is true or false. I'm not sure if this is true or false. I'm not sure if this is true or false.. I'll report it..,,0,0,0
1057,For the next step...,,For the next step.,,1,1,1
1063,fyi. I haven't checked yet.,,I don't know. I have not looked.,,1,1,1
1069,the 14th is much better for me as we already have plans on the 7th,,I'm not going to be there. I'm going to be there. I'm going to be there. I'm going to be there. I'm going to be there. the 7th. I'm not..,,0,0,0
1075,I don't know anything about this! MC Richard B Sanders 06/08/2000 05:34 PM,,I am not aware of this.,,1,1,1
1081,"We are waiting to hear. We have received documents from them, but no definitive word. Kay Jim Gilbert@ECT 12/19/2000 04:32 PM",,have received documents but no definitive word from them.. but no definitive word.. have received documents but no definitive word from them. have received documents but no definitive word. We have received documents but no definitive word.....,,1,0,0
1087,"Spreadsheet has been updated and sent to Neil Bresnan, Daniel Kang, and Jubran Whalan at EES. Thanks for your help on this. Kate Mark Confer 03/05/2001 09:03 AM",,"Updated Spreadsheet: G Updated & sent with Neil Bresnan,Daniel Kang & Jubran Whalan at EES thanks for your help",,0,0,0
1093,fyi,,,,0,0,0
1099,FYI,,That's correct. That's correct. That's correct. That's correct. That's correct. That's correct. That's correct.,,0,0,0
1105,"Karen, I was just thinking that maybe Wall Street Journal would be a good source of Brazilian ec. condition and sometimes they report on specific industries too. Monika",,nothing here i thought Wall Street Journal was good source b now for Brazilian ec. condition and sometimes they report on specific industries too,,1,0,0
1111,20,,-20,,0,0,0
1117,Thanks. I appreiciate it.,,thanks,,1,1,0
1123,"Interesting stuff -- Richardson redux, etc.",,"stuff. Richardson redux,",,0,0,0
1129,I really like that one.,,I like this one...,,1,1,0
1135,"Gene, What is the status of the ProNexxus situation? Have we received anything from them? If not, they are very shortsighted! Michelle",,"What is the status of the ProNexxus situation? Have we received anything from them? If not, they are very shortsighted!",,1,1,1
1141,I think it would be best to get those terms in this agreement.,,think it would be best to get those terms in this,,1,1,0
1147,here's the right email address. talk to you soon.,,.. I'm here to help you... I'm here to help you. You should talk to me at this email address.. I'm here to help you.. I'm here to help you.. talk to me at,,0,0,0
